Date,SO2,NOX,PM10,PM2.5,O3,Pb ,CO,Station ID,Station Name
24-08-2016,4.4,9,37.3,13.3,<0.5,<0.001,<0.01,1,Assanora
27-08-2016,3.9,8.6,39.6,13.4,<0.5,<0.001,<0.01,1,Assanora
31-08-2016,4.2,8.6,47.1,15.4,<0.5,<0.001,<0.01,1,Assanora
03-09-2016,4.1,9,46.8,15,<0.5,<0.001,<0.01,1,Assanora
07-09-2016,3.9,8.3,43.3,14.1,<0.5,<0.001,<0.01,1,Assanora
10-09-2016,3.9,9.1,43.5,15.7,<0.5,<0.001,<0.01,1,Assanora
14-09-2016,3.4,8.8,35.6,10.5,<0.5,<0.001,<0.01,1,Assanora
17-09-2016,4.3,9.1,54,17,<0.5,<0.001,<0.01,1,Assanora
21-09-2016,2.5,5.6,23.4,7.7,<0.5,<0.001,<0.01,1,Assanora
24-09-2016,2,4.5,29.5,10.8,<0.5,<0.001,<0.01,1,Assanora
28-09-2016,3.9,8.4,44.9,15.9,<0.5,<0.001,<0.01,1,Assanora
01-10-2016,5.4,12.1,46.4,16.7,<0.5,<0.5,<0.01,1,Assanora
05-10-2016,5.3,12.4,31.3,11.6,<0.5,<0.5,<0.01,1,Assanora
08-10-2016,4.9,11.9,30.6,11,<0.5,<0.5,<0.01,1,Assanora
13-10-2016,7.3,14.9,77.5,26.2,<0.5,<0.5,<0.01,1,Assanora
15-10-2016,7.4,15.4,76.5,24.3,<0.5,<0.5,<0.01,1,Assanora
19-10-2016,7.2,14.5,56.5,17.9,<0.5,<0.5,<0.01,1,Assanora
22-10-2016,7.5,14.9,70.4,21.5,<0.5,<0.5,<0.01,1,Assanora
26-10-2016,7.5,15.5,66.6,22.2,<0.5,<0.5,<0.01,1,Assanora
29-10-2016,8,16.3,85.6,26.8,<0.5,<0.5,<0.01,1,Assanora
03-11-2016,5.8,11.1,52.9,19.9,<0.5,<0.5,<0.01,1,Assanora
05-11-2016,5.8,11.6,61.5,20.4,<0.5,<0.5,<0.01,1,Assanora
09-11-2016,6,12.8,74.4,22.5,<0.5,<0.5,<0.01,1,Assanora
12-11-2016,6.3,13.3,83,26.7,<0.5,<0.5,<0.01,1,Assanora
16-11-2016,6.1,12.5,71.2,27.5,<0.5,<0.5,<0.01,1,Assanora
19-11-2016,8.9,18.1,97.8,27.6,<0.5,<0.5,<0.01,1,Assanora
23-11-2016,5.6,11.2,67.5,22,<0.5,<0.5,<0.01,1,Assanora
26-11-2016,8.2,16.9,96.9,33.3,<0.5,<0.5,<0.01,1,Assanora
30-11-2016,9.1,18.6,90,28.9,<0.5,<0.5,<0.01,1,Assanora
03-12-2016,7.2,15.5,59,18,<0.5,<0.5,<0.01,1,Assanora
07-12-2016,9.3,17.2,108.8,32.8,<0.5,<0.5,<0.01,1,Assanora
09-12-2016,8.5,15.3,92,29.4,<0.5,<0.5,<0.01,1,Assanora
14-12-2016,9,20.8,80.8,25.9,<0.5,<0.5,<0.01,1,Assanora
16-12-2016,6.9,15.9,55.2,17.2,<0.5,<0.5,<0.01,1,Assanora
21-12-2016,8.9,16.7,98.4,33.1,<0.5,<0.5,<0.01,1,Assanora
23-12-2016,8.4,16.1,92.6,28.8,<0.5,<0.5,<0.01,1,Assanora
28-12-2016,8.9,16.3,68.6,17.2,<0.5,<0.5,<0.01,1,Assanora
30-12-2016,8.1,16.6,89.6,30.1,<0.5,<0.5,<0.01,1,Assanora
04-01-2017,10.9,17.5,86.9,27.8,6,<0.5,<0.01,1,Assanora
06-01-2017,11.1,19.7,70.8,24.7,<0.5,<0.5,<0.01,1,Assanora
11-01-2017,11.5,18.5,98,30.7,<0.5,<0.5,<0.01,1,Assanora
13-01-2017,11.6,17.7,74.8,23.8,6,<0.5,<0.01,1,Assanora
18-01-2017,11,19.5,70.8,23,<0.5,<0.5,<0.01,1,Assanora
20-01-2017,10.6,16.3,97.1,31,7.25,<0.5,<0.01,1,Assanora
25-01-2017,10.3,17.4,69.9,151.4,<0.5,<0.5,<0.01,1,Assanora
28-01-2017,12.5,19.1,79.2,25.9,<0.5,<0.5,<0.01,1,Assanora
31-01-2017,10.7,19.4,84.6,27,<0.5,<0.5,<0.01,1,Assanora
02-02-2017,9.1,17.5,65.4,19.8,3.6,<0.5,<0.01,1,Assanora
05-02-2017,11.3,21.6,66.3,20.8,<0.5,<0.5,<0.01,1,Assanora
08-02-2017,10.7,19.4,47.1,14.9,<0.5,<0.5,<0.01,1,Assanora
11-02-2017,8.1,15.5,45.4,14.9,3.1,<0.5,<0.01,1,Assanora
15-02-2017,8.1,18.1,46.7,14,<0.5,<0.5,<0.01,1,Assanora
17-02-2017,9.5,19.3,51.5,15.8,2.7,<0.5,<0.01,1,Assanora
21-02-2017,8.3,16.9,34.6,11.7,<0.5,<0.5,<0.01,1,Assanora
23-02-2017,8.6,18.8,45.6,15,2.9,<0.5,<0.01,1,Assanora
06-04-2016,4.4,9,9,81.1,,,,2,Amona
09-04-2016,4.5,9.4,9.4,82.5,,,,2,Amona
13-04-2016,4.7,9.5,9.5,83.6,,,,2,Amona
16-04-2016,4.1,8.8,8.8,69.6,,,,2,Amona
20-04-2016,4.3,9.1,9.1,77.5,,,,2,Amona
23-04-2016,4.4,8.8,8.8,73.5,,,,2,Amona
27-04-2016,4.5,9.5,9.5,83.2,,,,2,Amona
30-04-2016,4.4,9.3,9.3,79.5,,,,2,Amona
04-05-2016,4.2,8.8,75.4,27.5,,,,2,Amona
07-05-2016,4.5,9.4,77.8,26.2,,,,2,Amona
11-05-2016,4.5,9.5,80.9,31.3,,,,2,Amona
14-05-2016,4.4,9,78,25.6,,,,2,Amona
18-05-2016,4.2,9.3,77.6,27.6,,,,2,Amona
21-05-2016,4.4,9.5,82.3,32.4,,,,2,Amona
25-05-2016,4.1,9.1,70.3,23.2,,,,2,Amona
28-05-2016,4.1,8.8,64.7,19.8,,,,2,Amona
01-06-2016,4.5,8.7,61.9,20.7,,,,2,Amona
04-06-2016,4.2,8.5,38.3,12.5,,,,2,Amona
08-06-2016,3.2,7.2,46.9,14.5,,,,2,Amona
11-06-2016,3.5,7.7,41.3,13.7,,,,2,Amona
15-06-2016,3.6,8.6,50.4,15.4,,,,2,Amona
18-06-2016,3.5,8,48.1,14.6,,,,2,Amona
22-06-2016,3.3,4.5,56.2,17,,,,2,Amona
25-06-2016,3.6,7.2,65.8,19.8,,,,2,Amona
29-06-2016,2.6,5.9,63,19.1,,,,2,Amona
06-07-2016,3,6.5,23.6,9.3,<0.5,<0.001,<0.01,2,Amona
09-07-2016,2.6,5.6,28.5,10.8,<0.5,<0.001,<0.01,2,Amona
13-07-2016,4.8,10.1,73.9,22.8,<0.5,<0.001,<0.01,2,Amona
16-07-2016,4,9.1,55.6,19,<0.5,<0.001,<0.01,2,Amona
20-07-2016,3.7,7.9,47.6,16.6,<0.5,<0.001,<0.01,2,Amona
23-07-2016,3.9,9.4,66.7,21.2,<0.5,<0.001,<0.01,2,Amona
27-07-2016,4.1,9.6,59.1,19.6,<0.5,<0.001,<0.01,2,Amona
30-07-2016,3.8,9.5,49.9,17.9,<0.5,<0.001,<0.01,2,Amona
03-08-2016,2.4,6.2,31.3,10.8,<0.5,<0.001,<0.01,2,Amona
06-08-2016,3.8,9,47.7,11.5,<0.5,<0.001,<0.01,2,Amona
10-08-2016,4,8.4,34.9,11.9,<0.5,<0.001,<0.01,2,Amona
13-08-2016,2,6.1,34,12,<0.5,<0.001,<0.01,2,Amona
17-08-2016,3.7,8.5,40.6,14.5,<0.5,<0.001,<0.01,2,Amona
20-08-2016,3.9,8.7,52.4,16.5,<0.5,<0.001,<0.01,2,Amona
24-08-2016,4,8.7,44.7,15.1,<0.5,<0.001,<0.01,2,Amona
27-08-2016,4.1,8.7,53,18.1,<0.5,<0.001,<0.01,2,Amona
31-08-2016,4.2,9.1,46.5,15.1,<0.5,<0.001,<0.01,2,Amona
03-09-2016,3.4,9.3,62.6,20,<0.5,<0.001,<0.01,2,Amona
07-09-2016,3.9,9.5,66.6,22.7,<0.5,<0.001,<0.01,2,Amona
10-09-2016,5,10.6,86.3,27.7,<0.5,<0.001,<0.01,2,Amona
14-09-2016,3.9,9.8,62.8,20.4,<0.5,<0.001,<0.01,2,Amona
17-09-2016,3.8,8.8,51.7,18.4,<0.5,<0.001,<0.01,2,Amona
21-09-2016,3.6,8.5,32.7,12.4,<0.5,<0.001,<0.01,2,Amona
24-09-2016,3.1,7.3,29.1,10.4,<0.5,<0.001,<0.01,2,Amona
28-09-2016,3.9,9.6,45,15.1,<0.5,<0.001,<0.01,2,Amona
04-10-2016,4.1,9.6,20.9,8.3,<0.5,<0.5,<0.01,2,Amona
07-10-2016,5.2,11.5,34.1,11,<0.5,<0.5,<0.01,2,Amona
12-10-2016,6.3,14.3,55.1,18,<0.5,<0.5,<0.01,2,Amona
14-10-2016,7.5,16,70.8,22.3,<0.5,<0.5,<0.01,2,Amona
18-10-2016,7,14.8,79.8,25.6,<0.5,<0.5,<0.01,2,Amona
21-10-2016,6.7,14.7,63.7,19.5,<0.5,<0.5,<0.01,2,Amona
25-10-2016,8.5,19.3,101.9,31.9,<0.5,<0.5,<0.01,2,Amona
28-10-2016,9,18.7,122.8,40.6,<0.5,<0.5,<0.01,2,Amona
03-11-2016,5.6,11.7,88.7,36.1,<0.5,<0.5,<0.01,2,Amona
05-11-2016,6.7,14.5,84.8,30.4,<0.5,<0.5,<0.01,2,Amona
09-11-2016,7.7,15.9,115.4,42.6,<0.5,<0.5,<0.01,2,Amona
12-11-2016,8.3,18.7,121.5,43.1,<0.5,<0.5,<0.01,2,Amona
16-11-2016,5.3,12,58.4,20.9,<0.5,<0.5,<0.01,2,Amona
19-11-2016,7.9,18.2,121.2,39.3,<0.5,<0.5,<0.01,2,Amona
23-11-2016,7.8,15.3,100.2,37.2,<0.5,<0.5,<0.01,2,Amona
26-11-2016,8.2,16.9,116.9,39.8,<0.5,<0.5,<0.01,2,Amona
30-11-2016,7.4,15.6,106.9,36.3,,,,2,Amona
03-12-2016,8.1,16.8,71.7,23.1,<0.5,<0.5,<0.01,2,Amona
07-12-2016,9.4,18.2,108.8,37.4,<0.5,<0.5,<0.01,2,Amona
10-12-2016,8.6,17,125.2,39.6,<0.5,<0.5,<0.01,2,Amona
14-12-2016,8.3,15.4,93.1,29.2,<0.5,<0.5,<0.01,2,Amona
17-12-2016,8.9,19.1,90.4,28.7,<0.5,<0.5,<0.01,2,Amona
21-12-2016,8.7,17.1,101.5,32,<0.5,<0.5,<0.01,2,Amona
24-12-2016,9,18,99.7,31,<0.5,<0.5,<0.01,2,Amona
28-12-2016,9.6,16.8,110.5,35.4,<0.5,<0.5,<0.01,2,Amona
31-12-2016,9.9,17.3,112.9,34.3,<0.5,<0.5,<0.01,2,Amona
04-01-2017,13.1,19,107.8,34.2,4,<0.5,<0.01,2,Amona
06-01-2017,10.7,18.4,99.1,32.5,<0.5,<0.5,<0.01,2,Amona
11-01-2017,10.3,17.5,89.1,28.8,6.5,<0.5,<0.01,2,Amona
13-01-2017,10.9,16.5,91.8,28.1,<0.5,<0.5,<0.01,2,Amona
18-01-2017,11.4,18.1,100.2,31.4,5,<0.5,<0.01,2,Amona
20-01-2017,11.8,17.2,112.6,35.5,5.3,<0.5,<0.01,2,Amona
25-01-2017,11.2,18.8,120.7,37.4,<0.5,<0.5,<0.01,2,Amona
27-01-2017,11.7,16.9,107,33.9,<0.5,<0.5,<0.01,2,Amona
31-01-2017,10.5,17.7,123.6,38.7,<0.5,<0.5,<0.01,2,Amona
02-02-2017,6.9,17.2,95.1,30.1,<0.5,<0.5,<0.01,2,Amona
05-02-2017,6.5,15.1,94.8,27.3,2.4,<0.5,<0.01,2,Amona
08-02-2017,7.3,14.4,70.8,23.3,1.3,<0.5,<0.01,2,Amona
10-02-2017,11.5,18.2,96.8,31.5,<0.5,<0.5,<0.01,2,Amona
16-02-2017,6.2,13.4,113.2,35.9,3.2,<0.5,<0.01,2,Amona
18-02-2017,7.3,15.1,112.9,35.9,2.5,<0.5,<0.01,2,Amona
21-02-2017,6.3,14.6,75.2,23.4,<0.5,<0.5,<0.01,2,Amona
23-02-2017,7.9,16.9,87.8,28.6,<0.5,<0.5,<0.01,2,Amona
05-04-2016,4.4,9.1,73.9,26.6,,,,3,Margao
07-04-2016,4.3,8.7,72.3,24.8,,,,3,Margao
12-04-2016,4.9,9.6,76.2,23.1,,,,3,Margao
15-04-2016,4.7,9.3,79.2,24.3,,,,3,Margao
19-04-2016,4.9,9.8,81.1,25.1,,,,3,Margao
22-04-2016,3.8,9.1,69.1,26.3,,,,3,Margao
26-04-2016,4.6,9.5,70,27.5,,,,3,Margao
29-04-2016,3.8,8.6,67.1,22.3,,,,3,Margao
03-05-2016,4.8,9.6,81.5,32.1,,,,3,Margao
06-05-2016,4.7,9.5,71.7,22.7,,,,3,Margao
10-05-2016,4.3,8.6,63.4,19.7,,,,3,Margao
13-05-2016,3.8,9.1,55.8,17.8,,,,3,Margao
17-05-2016,4.7,9.3,77.4,27.4,,,,3,Margao
20-05-2016,4.9,9.8,80.9,29.7,,,,3,Margao
24-05-2016,4.4,9.1,63.7,20.8,,,,3,Margao
27-05-2016,3.8,8.7,62.9,19.4,,,,3,Margao
02-06-2016,4.4,8.9,53.7,19.1,,,,3,Margao
04-06-2016,4,8.5,51,17.9,,,,3,Margao
07-06-2016,4.1,8.9,49.8,18.8,,,,3,Margao
10-06-2016,3.9,7.4,33.1,15.6,,,,3,Margao
14-06-2016,4.2,9,55.9,20.8,,,,3,Margao
17-06-2016,3.7,8.9,48.5,15.8,,,,3,Margao
21-06-2016,2,4.5,46.4,22.4,,,,3,Margao
24-06-2016,3.5,8.5,52.3,23,,,,3,Margao
28-06-2016,2,4.5,63.4,34.4,,,,3,Margao
05-07-2016,3.7,8.4,42.5,14.4,<0.5,<0.001,<0.01,3,Margao
08-07-2016,4.3,8.7,44.9,16.8,<0.5,<0.001,<0.01,3,Margao
12-07-2016,4.5,9.3,64.1,20.3,<0.5,<0.001,<0.01,3,Margao
15-07-2016,4.2,10.3,65.6,20.5,<0.5,<0.001,<0.01,3,Margao
19-07-2016,2.7,6.5,34,11.6,<0.5,<0.001,<0.01,3,Margao
22-07-2016,2,6.4,28.4,9.7,<0.5,<0.001,<0.01,3,Margao
26-07-2016,4.2,8.5,46.4,14.7,<0.5,<0.001,<0.01,3,Margao
29-07-2016,4,8.9,44.8,15.8,<0.5,<0.001,<0.01,3,Margao
02-08-2016,3.7,8.6,36.5,11.8,<0.5,<0.001,<0.01,3,Margao
05-08-2016,3.7,8.8,36.1,11.9,<0.5,<0.001,<0.01,3,Margao
09-08-2016,3.5,7.9,45,13.8,<0.5,<0.001,<0.01,3,Margao
12-08-2016,4,8.9,45.7,13.9,<0.5,<0.001,<0.01,3,Margao
16-08-2016,4.4,9.4,61,19,<0.5,<0.001,<0.01,3,Margao
19-08-2016,4,8.7,56.1,17.9,<0.5,<0.001,<0.01,3,Margao
23-08-2016,2,4.5,21.5,8.2,<0.5,<0.001,<0.01,3,Margao
26-08-2016,4,9,53.1,17.6,<0.5,<0.001,<0.01,3,Margao
30-08-2016,3.1,7.3,28.2,9,<0.5,<0.001,<0.01,3,Margao
02-09-2016,3.1,7.5,24.3,9.7,<0.5,<0.001,<0.01,3,Margao
08-09-2016,2,4.5,20.4,8.3,<0.5,<0.001,<0.01,3,Margao
11-09-2016,3.1,7.6,22.4,9.2,<0.5,<0.001,<0.01,3,Margao
13-09-2016,3.4,8.5,34,11.1,<0.5,<0.001,<0.01,3,Margao
16-09-2016,3,8,31.1,10.9,<0.5,<0.001,<0.01,3,Margao
20-09-2016,3.5,8.6,38.1,13.7,<0.5,<0.001,<0.01,3,Margao
23-09-2016,2,4.5,17.6,6.8,<0.5,<0.001,<0.01,3,Margao
27-09-2016,3,7.7,23.9,7.9,<0.5,<0.001,<0.01,3,Margao
30-09-2016,3.1,7.5,27.8,10.5,<0.5,<0.001,<0.01,3,Margao
04-10-2016,4.2,9.7,18.4,7.7,<0.5,<0.5,<0.01,3,Margao
07-10-2016,4.3,9.4,20.8,10,<0.5,<0.5,<0.01,3,Margao
12-10-2016,5.3,12,41.7,15.3,<0.5,<0.5,<0.01,3,Margao
14-10-2016,6.1,13.3,64.4,19.8,<0.5,<0.5,<0.01,3,Margao
18-10-2016,7.1,16.4,76.9,25.6,<0.5,<0.5,<0.01,3,Margao
21-10-2016,8.7,17.8,86.5,28.9,<0.5,<0.5,<0.01,3,Margao
24-10-2016,13.7,16.6,129.8,43,<0.5,<0.5,<0.01,3,Margao
30-10-2016,15,19,101.9,30.8,<0.5,<0.5,<0.01,3,Margao
03-11-2016,6,12.6,93.7,30.1,<0.5,<0.5,<0.01,3,Margao
05-11-2016,5.4,11.3,72,23.9,<0.5,<0.5,<0.01,3,Margao
08-11-2016,8.7,17.6,106.6,34.7,<0.5,<0.5,<0.01,3,Margao
11-11-2016,9.5,19.4,130.7,34.8,<0.5,<0.5,<0.01,3,Margao
15-11-2016,7.1,15.3,102.9,32.6,<0.5,<0.5,<0.01,3,Margao
18-11-2016,8.7,18.1,144,39.7,<0.5,<0.5,<0.01,3,Margao
22-11-2016,7.3,14.9,105.7,28.5,<0.5,<0.5,<0.01,3,Margao
25-11-2016,6.1,13.1,104.1,28.2,<0.5,<0.5,<0.01,3,Margao
29-11-2016,5.8,12.8,98.6,33.6,<0.5,<0.5,<0.01,3,Margao
02-12-2016,8.5,17.6,85.2,26.4,<0.5,<0.5,<0.01,3,Margao
06-12-2016,8.6,18.4,105.5,34.2,<0.5,<0.5,<0.01,3,Margao
08-12-2016,8.7,18.3,120.2,37.6,<0.5,<0.5,<0.01,3,Margao
13-12-2016,8.8,17,90.9,30.2,<0.5,<0.5,<0.01,3,Margao
15-12-2016,9.8,16.3,61.4,22.3,<0.5,<0.5,<0.01,3,Margao
20-12-2016,9.6,17.3,86.2,32.4,<0.5,<0.5,<0.01,3,Margao
22-12-2016,9.4,17.9,91.9,31.8,<0.5,<0.5,<0.01,3,Margao
27-12-2016,8.9,17.4,90.9,28.3,<0.5,<0.5,<0.01,3,Margao
29-12-2016,9.2,18.4,87.1,32.2,<0.5,<0.5,<0.01,3,Margao
03-01-2017,12.8,18,115.4,43.4,<0.5,<0.5,<0.01,3,Margao
05-01-2017,10.4,18.4,95.5,46.2,6.3,<0.5,<0.01,3,Margao
10-01-2017,13.3,20.4,70.4,23.6,<0.5,<0.5,<0.01,3,Margao
12-01-2017,12.2,17,89.1,29,<0.5,<0.5,<0.01,3,Margao
17-01-2017,10.9,17.4,107.5,34.4,7,<0.5,<0.01,3,Margao
19-01-2017,11,18.2,96.5,31.2,<0.5,<0.5,<0.01,3,Margao
24-01-2017,11.3,17.8,114.3,37.4,<0.5,<0.5,<0.01,3,Margao
27-01-2017,11.8,19.1,112.1,35.6,<0.5,<0.5,<0.01,3,Margao
31-01-2017,11.1,16.8,108,34.8,5.7,<0.5,<0.01,3,Margao
03-02-2017,7.8,16.1,85.9,27.5,2.9,<0.5,<0.01,3,Margao
05-02-2017,8.6,18.3,83.4,28.9,<0.5,<0.5,<0.01,3,Margao
07-02-2017,10,20.5,56.5,18.6,<0.5,<0.5,<0.01,3,Margao
09-02-2017,8,14.7,68.4,23.3,3.3,<0.5,<0.01,3,Margao
14-02-2017,9.9,15,66.8,23.2,<0.5,<0.5,<0.01,3,Margao
16-02-2017,12.4,20.6,87.5,29.1,2.7,<0.5,<0.01,3,Margao
21-02-2017,9,16.2,49.3,15.9,3,<0.5,<0.01,3,Margao
23-02-2017,9.7,18.6,74.8,23.9,3.2,<0.5,<0.01,3,Margao
05-04-2016,4.3,8.8,62.6,22.8,,,,4,Ponda
07-04-2016,4.4,9.3,63.9,24.6,,,,4,Ponda
12-04-2016,4.5,9.3,73.4,26.4,,,,4,Ponda
15-04-2016,4.3,9.2,60.9,20.6,,,,4,Ponda
19-04-2016,3.8,8.7,57.3,17.7,,,,4,Ponda
22-04-2016,3.8,8.6,58.4,18.3,,,,4,Ponda
26-04-2016,4.1,9.1,59.3,21.9,,,,4,Ponda
29-04-2016,4.3,9.2,59.8,19.2,,,,4,Ponda
03-05-2016,4.3,8.8,60.7,19.1,,,,4,Ponda
06-05-2016,4.4,9.2,65.1,22.9,,,,4,Ponda
10-05-2016,4.5,9.3,85.6,26.5,,,,4,Ponda
13-05-2016,4.4,9.3,77.4,23.5,,,,4,Ponda
17-05-2016,3.8,8.7,33.9,10.8,,,,4,Ponda
20-05-2016,4.3,8.5,47.2,14.5,,,,4,Ponda
24-05-2016,4.1,9.1,34.4,10.4,,,,4,Ponda
27-05-2016,3.9,8.6,30.2,11.2,,,,4,Ponda
02-06-2016,3.4,8.6,45.4,16.2,,,,4,Ponda
04-06-2016,4.4,9.3,40,12.6,,,,4,Ponda
07-06-2016,4.1,9.5,47.1,15,,,,4,Ponda
10-06-2016,3.2,7.8,44.2,13.6,,,,4,Ponda
14-06-2016,4.2,9.3,60.2,23.4,,,,4,Ponda
17-06-2016,4.3,7.9,66.3,25.7,,,,4,Ponda
21-06-2016,2,4.5,51,16.9,,,,4,Ponda
24-06-2016,4,7.6,60.9,20.9,,,,4,Ponda
28-06-2016,3,6,47.2,15.8,,,,4,Ponda
05-07-2016,2.9,6.4,23.9,9.4,<0.5,<0.001,<0.01,4,Ponda
08-07-2016,4.2,8.2,54.4,19.4,<0.5,<0.001,<0.01,4,Ponda
12-07-2016,5,9.6,61.2,17.2,<0.5,<0.001,<0.01,4,Ponda
15-07-2016,3.6,7.6,42.8,14.2,<0.5,<0.001,<0.01,4,Ponda
19-07-2016,4,9.3,48.6,17.4,<0.5,<0.001,<0.01,4,Ponda
22-07-2016,4.2,9.9,57.2,19,<0.5,<0.001,<0.01,4,Ponda
26-07-2016,4.3,8.8,68.3,21.4,<0.5,<0.001,<0.01,4,Ponda
29-07-2016,3.1,6.5,54.1,17.8,<0.5,<0.001,<0.01,4,Ponda
03-08-2016,3.5,8.6,54.3,17,<0.5,<0.001,<0.01,4,Ponda
06-08-2016,4,8.9,63.1,20.4,<0.5,<0.001,<0.01,4,Ponda
10-08-2016,2.5,6.6,35.3,11.3,<0.5,<0.001,<0.01,4,Ponda
13-08-2016,2,5.3,31,10.7,<0.5,<0.001,<0.01,4,Ponda
17-08-2016,3.9,8.8,50.5,16.4,<0.5,<0.001,<0.01,4,Ponda
20-08-2016,4,9.2,51.4,15.7,<0.5,<0.001,<0.01,4,Ponda
24-08-2016,3.6,9.4,51,18.9,<0.5,<0.001,<0.01,4,Ponda
27-08-2016,3.8,9.3,49.4,16.6,<0.5,<0.001,<0.01,4,Ponda
31-08-2016,3.9,9.5,59.8,19,<0.5,<0.001,<0.01,4,Ponda
02-09-2016,4.4,9.3,64.3,21.2,<0.5,<0.001,<0.01,4,Ponda
08-09-2016,3.6,9.3,40.7,12.6,<0.5,<0.001,<0.01,4,Ponda
11-09-2016,3.9,8.8,63,21,<0.5,<0.001,<0.01,4,Ponda
13-09-2016,3.9,8.8,45.9,15.4,<0.5,<0.001,<0.01,4,Ponda
16-09-2016,2.9,6.8,34.7,12.9,<0.5,<0.001,<0.01,4,Ponda
20-09-2016,2,6.4,29.4,11,<0.5,<0.001,<0.01,4,Ponda
23-09-2016,2.4,7.6,29.7,10.1,<0.5,<0.001,<0.01,4,Ponda
27-09-2016,3.6,8.2,58.9,19.3,<0.5,<0.001,<0.01,4,Ponda
30-09-2016,3.6,8.3,59.7,19.1,<0.5,<0.001,<0.01,4,Ponda
04-10-2016,4.7,9.9,40.4,14.6,<0.5,<0.5,<0.01,4,Ponda
07-10-2016,5,11.5,45.1,14.2,<0.5,<0.5,<0.01,4,Ponda
10-10-2016,3.3,8.7,20.9,7.3,<0.5,<0.5,<0.01,4,Ponda
12-10-2016,6.1,13.1,56,17.9,<0.5,<0.5,<0.01,4,Ponda
18-10-2016,8.3,17.3,87,25.3,<0.5,<0.5,<0.01,4,Ponda
21-10-2016,7.2,15.5,81.8,25.5,<0.5,<0.5,<0.01,4,Ponda
24-10-2016,13.6,16.3,110.7,36.9,<0.5,<0.5,<0.01,4,Ponda
30-10-2016,14.3,18.9,125,39.9,<0.5,<0.5,<0.01,4,Ponda
03-11-2016,6.4,13,97.3,32.8,<0.5,<0.5,<0.01,4,Ponda
05-11-2016,5.6,11.5,82.9,25.4,<0.5,<0.5,<0.01,4,Ponda
08-11-2016,9.2,18.6,139.1,40.1,<0.5,<0.5,<0.01,4,Ponda
11-11-2016,8.4,17.4,135.3,36.8,<0.5,<0.5,<0.01,4,Ponda
15-11-2016,7,14.5,98.7,30.5,<0.5,<0.5,<0.01,4,Ponda
18-11-2016,8.2,14.1,134.6,41.9,<0.5,<0.5,<0.01,4,Ponda
22-11-2016,6.3,13.4,114.1,33.3,<0.5,<0.5,<0.01,4,Ponda
