Date,SO2,NO2,PM10,Station Name,Station ID
03-03-2015,14,17,96,Vasco,18
03-05-2015,10,15,76,Vasco,18
03-10-2015,4,17,68,Vasco,18
03-12-2015,7,27,59,Vasco,18
17-03-2015,7,12,152,Vasco,18
20-03-2015,11,15,55,Vasco,18
24-03-2015,4,10,72,Vasco,18
26-03-2015,12,9,58,Vasco,18
31-03-2015,2,6,58,Vasco,18
04-02-2015,5,13,65,Vasco,18
04-07-2015,3,7,96,Vasco,18
04-09-2015,4,7,107,Vasco,18
13-04-2015,3,6,149,Vasco,18
16-04-2015,16,6,66,Vasco,18
21-04-2015,6,7,39,Vasco,18
23-04-2015,6,7,41,Vasco,18
28-04-2015,13,15,40,Vasco,18
30-04-2015,4,5,44,Vasco,18
05-05-2015,9,10,67,Vasco,18
05-07-2015,13,6,32,Vasco,18
05-12-2015,2,16,64,Vasco,18
14-05-2015,5,19,41,Vasco,18
19-05-2015,5,10,43,Vasco,18
21-05-2015,9,5,42,Vasco,18
26-05-2015,5,5,29,Vasco,18
28-05-2015,6,5,40,Vasco,18
06-02-2015,8,6,29,Vasco,18
06-04-2015,8,5,87,Vasco,18
06-09-2015,2,5,7,Vasco,18
06-11-2015,3,5,9,Vasco,18
16-06-2015,5,15,24,Vasco,18
18-06-2015,0,0,0,Vasco,18
23-06-2015,3,9,64,Vasco,18
25-06-2015,9,5,62,Vasco,18
30-06-2015,2,5,24,Vasco,18
07-02-2015,3,8,13,Vasco,18
07-07-2015,4,5,22,Vasco,18
07-09-2015,4,5,13,Vasco,18
14-07-2015,11,5,57,Vasco,18
16-07-2015,4,7,77,Vasco,18
21-07-2015,6,6,38,Vasco,18
23-07-2015,6,5,20,Vasco,18
28-07-2015,3,5,28,Vasco,18
30-07-2015,2,5,26,Vasco,18
08-04-2015,6,5,20,Vasco,18
08-06-2015,3,6,28,Vasco,18
13-08-2015,2,6,15,Vasco,18
18-08-2015,2,5,118,Vasco,18
20-08-2015,6,5,39,Vasco,18
25-08-2015,2,5,61,Vasco,18
27-08-2015,2,5,21,Vasco,18
09-01-2015,2,5,22,Vasco,18
09-03-2015,5,5,23,Vasco,18
09-08-2015,4,5,29,Vasco,18
09-10-2015,7,7,61,Vasco,18
15-09-2015,9,5,391,Vasco,18
22-09-2015,2,49,160,Vasco,18
24-09-2015,6,0,60,Vasco,18
29-09-2015,8,0,131,Vasco,18
10-01-2015,3,5,138,Vasco,18
10-06-2015,7,25,215,Vasco,18
10-08-2015,6,14,162,Vasco,18
13-10-2015,7,5,83,Vasco,18
15-10-2015,6,5,35,Vasco,18
20-10-2015,29,5,109,Vasco,18
23-10-2015,14,5,52,Vasco,18
27-10-2015,2,10,77,Vasco,18
29-10-2015,5,5,64,Vasco,18
11-03-2015,4,9,128,Vasco,18
11-05-2015,4,12,126,Vasco,18
11-11-2015,3,8,197,Vasco,18
17-11-2015,6,9,144,Vasco,18
19-11-2015,5,10,121,Vasco,18
24-11-2015,8,9,179,Vasco,18
26-11-2015,4,6,133,Vasco,18
12-01-2015,4,12,128,Vasco,18
12-08-2015,16,14,211,Vasco,18
