Date,PM10,Station ID
01-01-2020,59.22222222,1
01-02-2020,61.375,1
01-03-2020,55,1
01-04-2020,38.5,1
01-05-2020,57,1
01-06-2020,49.55555556,1
01-07-2020,44.55555556,1
01-08-2020,45.44444444,1
01-09-2020,45.5,1
01-10-2020,51.88888889,1
01-11-2020,58.33333333,1
01-12-2020,74.55555556,1
01-01-2021,64.5,1
01-02-2021,67.25,1
01-03-2021,72.22222222,1
01-04-2016,9.175,2
01-05-2016,75.875,2
01-06-2016,52.43333333,2
01-07-2016,50.6125,2
01-08-2016,42.78888889,2
01-09-2016,54.6,2
01-10-2016,68.6375,2
01-11-2016,101.5555556,2
01-12-2016,101.5333333,2
01-01-2017,105.7666667,2
01-02-2017,93.325,2
01-04-2017,88.75,2
01-05-2017,80.65555556,2
01-06-2017,44.88888889,2
01-07-2017,32.8,2
01-08-2017,36.8,2
01-09-2017,35.94444444,2
01-10-2017,53.9625,2
01-11-2017,66.24,2
01-12-2017,72.325,2
01-01-2018,80.16666667,2
01-02-2018,86.175,2
01-03-2018,74.05555556,2
01-04-2018,71.3625,2
01-05-2018,65.5,2
01-06-2018,36.225,2
01-07-2018,26.04375,2
01-08-2018,38.61111111,2
01-10-2018,78.06,2
01-11-2018,90.88888889,2
01-12-2018,66.46875,2
01-01-2019,110.1744444,2
01-02-2019,113.84875,2
01-03-2019,116.4111111,2
01-04-2019,83.66666667,2
01-05-2019,99.44444444,2
01-06-2019,50.375,2
01-07-2019,36.11111111,2
01-08-2019,37.22222222,2
01-09-2019,46.375,2
01-10-2019,55.33333333,2
01-11-2019,58.55555556,2
01-12-2019,56.88888889,2
01-01-2020,62.88888889,2
01-02-2020,68.5,2
01-03-2020,64.83333333,2
01-04-2020,45.75,2
01-05-2020,58.75,2
01-06-2020,47.77777778,2
01-07-2020,44.22222222,2
01-08-2020,45.375,2
01-09-2020,48.33333333,2
01-10-2020,54,2
01-11-2020,62.25,2
01-12-2020,78,2
01-01-2021,65.77777778,2
01-02-2021,67.875,2
01-03-2021,69.44444444,2
01-04-2016,73.6125,3
01-05-2016,69.6625,3
01-06-2016,50.45555556,3
01-07-2016,46.3375,3
01-08-2016,42.57777778,3
01-09-2016,26.62222222,3
01-10-2016,67.55,3
01-11-2016,106.4777778,3
01-12-2016,91.03333333,3
01-01-2017,100.9777778,3
01-02-2017,71.575,3
01-04-2017,62.025,3
01-05-2017,53.88888889,3
01-06-2017,32.47777778,3
01-07-2017,34.8625,3
01-08-2017,36.96666667,3
01-09-2017,37.8,3
01-10-2017,57.9875,3
01-11-2017,62.36,3
01-12-2017,68.4125,3
01-01-2018,85.38888889,3
01-02-2018,74.35,3
01-03-2018,72.85555556,3
01-04-2018,56.95,3
01-05-2018,56.55555556,3
01-06-2018,36.65,3
01-07-2018,28.4625,3
01-08-2018,37.43333333,3
01-11-2018,79.825,3
01-12-2018,67.58,3
01-01-2019,101.85,3
01-02-2019,79.73875,3
01-03-2019,100.14,3
01-04-2019,54.75,3
01-05-2019,63.88888889,3
01-06-2019,43.33333333,3
01-07-2019,34.55555556,3
01-08-2019,35.66666667,3
01-09-2019,45.625,3
01-10-2019,49.88888889,3
01-11-2019,52.22222222,3
01-12-2019,51.875,3
01-01-2020,54.88888889,3
01-02-2020,68.33333333,3
01-03-2020,60.83333333,3
01-04-2020,43.33333333,3
01-05-2020,55.55555556,3
01-06-2020,47.25,3
01-07-2020,43.33333333,3
01-08-2020,45.66666667,3
01-09-2020,46.77777778,3
01-10-2020,54.11111111,3
01-11-2020,64.25,3
01-12-2020,77.77777778,3
01-01-2021,70.77777778,3
01-02-2021,76.25,3
01-03-2021,74.33333333,3
01-04-2016,61.95,4
01-05-2016,54.3125,4
01-06-2016,51.36666667,4
01-07-2016,51.3125,4
01-08-2016,49.53333333,4
